alpha_vs_alla,alpha_vs_csi800,benchmark_alla_1m,benchmark_csi800_1m,board_chinext,board_main,board_star,portfolio_profile,raw_return_1m,rebalance_date,score_col,strategy_name,target_count,targets,cum_ret,cum_csi800,cum_excess_csi800
0.015593534335494041,0.018582947552204132,0.10326187312602997,0.10027245432138443,2.0,5.0,3.0,industry_top10,0.11885540187358856,2026-04-01,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"300604.XSHE,688027.XSHG,688019.XSHG,600820.XSHG,688122.XSHG,002958.XSHE,603993.XSHG,601155.XSHG,000426.XSHE,300395.XSHE",0.992798733049088,0.3916486099859966,0.4653208727687146
0.017085310071706772,0.030140554532408714,0.025663701817393303,0.012608456425368786,5.0,5.0,0.0,top10,0.042749010026454926,2025-01-02,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,10,"300803.XSHE,300144.XSHE,002926.XSHE,000783.XSHE,600739.XSHG,300567.XSHE,300140.XSHE,600498.XSHG,600482.XSHG,300033.XSHE",0.042749010026454926,0.012608456425368786,0.030140554532408714
0.009120888076722622,0.02045559510588646,0.026354635134339333,0.01501992903649807,3.0,6.0,1.0,top10,0.03547552227973938,2025-02-05,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,10,"300567.XSHE,300803.XSHE,600498.XSHG,300144.XSHE,000166.XSHE,600104.XSHG,688506.XSHG,000937.XSHE,000783.XSHE,603225.XSHG",0.07974107576382461,0.02781776358263577,0.05121269261807693
0.0034790958743542433,-0.002768944250419736,-0.0077665927819907665,-0.0015185512602329254,1.0,8.0,1.0,top10,-0.004287496209144592,2025-03-03,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,10,"000166.XSHE,688271.XSHG,600699.XSHG,603737.XSHG,600482.XSHG,300144.XSHE,600004.XSHG,600584.XSHG,002353.XSHE,601169.XSHG",0.07511168999462958,0.026256969622457493,0.04830194327688386
0.033870600163936615,0.03557422384619713,-0.01975426822900772,-0.021457891911268234,1.0,5.0,4.0,top10,0.014116331934928894,2025-04-01,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,10,"300803.XSHE,000937.XSHE,688561.XSHG,688425.XSHG,002926.XSHE,600498.XSHG,600038.XSHG,688506.XSHG,688256.XSHG,600482.XSHG",0.09028832347771609,0.004235658495113093,0.08559447126541908
0.009106882847845554,0.010317918844521046,0.002642516978085041,0.001431483426131308,2.0,8.0,0.0,top10,0.01174940075725317,2025-05-06,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,10,"002958.XSHE,601212.XSHG,300803.XSHE,002831.XSHE,600500.XSHG,300207.XSHE,000027.XSHE,601118.XSHG,000401.XSHE,601868.XSHG",0.10309855793120937,0.0056732051961789765,0.09679554691799641
0.02264302410185337,0.029872262850403786,0.030223330482840538,0.022994088008999825,1.0,9.0,0.0,top10,0.05286635830998421,2025-06-03,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,10,"300803.XSHE,600688.XSHG,601868.XSHG,002831.XSHE,000825.XSHE,600685.XSHG,600153.XSHG,000425.XSHE,600038.XSHG,000401.XSHE",0.16141536154602765,0.028797743384752827,0.12955931178868307
-0.043813638389110565,-0.035555172711610794,0.04324720799922943,0.03498874604701996,1.0,9.0,0.0,top10,-0.0005664274212904274,2025-07-01,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,10,"600166.XSHG,600688.XSHG,002958.XSHE,601212.XSHG,000027.XSHE,002831.XSHE,600859.XSHG,301269.XSHE,000021.XSHE,601868.XSHG",0.16075750403774003,0.06479408636178907,0.08939763537002832
-0.01676262356340885,-0.02486703172326088,0.10960137099027634,0.11770577728748322,1.0,9.0,0.0,top10,0.09283874928951263,2025-08-01,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,10,"600688.XSHG,600061.XSHG,600153.XSHG,000825.XSHE,003031.XSHE,000039.XSHE,300757.XSHE,000021.XSHE,000027.XSHE,600166.XSHG",0.2685207789410202,0.1901265019481191,0.062307549812036456
-0.02600361965596676,-0.036954931914806366,0.04729943722486496,0.05825074762105942,0.0,8.0,2.0,top10,0.021295815706253052,2025-09-01,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,10,"000825.XSHE,600995.XSHG,688065.XSHG,600867.XSHG,600166.XSHG,601118.XSHG,600004.XSHG,601169.XSHG,600104.XSHG,688281.XSHG",0.29553496366890086,0.2594522604502332,0.023050046636147847
